學號,姓名,國中,高中,班別,座號,電話1,爸爸手機,媽媽手機,學生手機,上課發簡訊,報名日期,不上了日期
468638,曲志,衛道,一中,202,A07,07-24661671,0998977322,0900214499,0984868886,是,2025/8/14,
575998,梅芬,草屯,一中,K01,D01,,0983122120,0982612904,0997485353,是,2025/8/14,
125437,石志建,南投,女中,K01,J01,02-28112267,0975037632,,0999726869,是,2025/8/14,
474640,單淑,衛道,衛道,202,F04,08-37396310,0908442461,0906310814,0935763571,是,2025/8/14,
720983,賈志,曉明,曉明,202,E05,08-91518233,0992207338,0968166690,0920469019,是,2025/8/14,
420110,湯雯婷,東勢,曉明,K01,I01,08-40104665,0977529408,0939036180,0922074899,是,2025/8/14,
314409,喻雅宏,新光,二中,K01,D11,,0950779914,0983989445,0998797309,是,2025/8/14,
505041,鈄志惠,,,K01,E11,,,0972538535,0993721092,是,2025/10/20,
937488,錢哲芬,弘文,弘文,K01,I08,07-80189007,0934256706,0999416057,0909612270,是,2025/8/14,
568261,齊君淑,衛道,一中,K01,J11,,,0995639879,,是,2025/8/14,
718952,杜雅,衛道,一中,202,F02,08-84986281,0935354823,0959291938,0904708563,是,2025/8/14,
674922,秋豪佩,,一中,202,B04,02-44566884,0962481687,0925426679,0986833722,是,2025/8/16,
701435,薊明家,豐東,一中,202,E03,04-55877648,0998851509,0977067737,0950684650,是,2025/8/14,
407747,裴芬,中科實,一中,202,B06,05-47431278,0905293749,0988095561,0945439447,是,2025/8/14,
743187,高娟,衛道,一中,K01,H01,08-01371955,0934640807,0989336905,0912118814,是,2025/8/14,
980098,仲志,三光,一中,K01,F08,05-67725952,,0984744851,0902561234,是,2025/8/14,
478197,袁玲君,福科,一中,K01,D07,,0954285072,0918088152,0952833642,是,2025/8/14,
839843,盛志美,居仁,女中,202,C03,02-05724593,0937484448,0973997297,,是,2025/8/14,
736115,束穎雅,東山,女中,K01,L09,,0986939533,0934444174,0924638603,是,2025/11/3,
781507,宓萍雅,,女中,K01,A07,,0919039538,0908705771,0942225115,是,2025/8/20,
164512,巫俊梅,國姓,女中,K01,G04,,0921743465,0947323174,0955123807,是,2025/8/14,
543140,景娟,曉明,女中,202,F06,,0909209700,0958923802,0956723120,是,2025/9/22,
336006,梁君豪,僑泰,女中,K01,L07,04-75497790,0954831481,0969028677,0995995189,是,2025/8/14,
987244,楊嘉俊,光明,女中,K01,L04,,0942346734,0985622091,0924051708,是,2025/8/14,
775784,傅穎強,后里,女中,K01,L08,05-81766422,0993878212,0978226285,0988914977,是,2025/8/14,
715514,錢雅志,豐東,女中,K01,H11,04-85265748,0932660945,0939029523,0949169650,是,2025/8/14,
392095,米雅,衛道,衛道,K01,E01,,0922869029,0997399609,0974318752,是,2025/8/14,
725182,房淑,衛道,衛道,202,C05,08-92798178,0972444109,0949409254,0987707229,是,2025/8/14,
975509,洪宏,衛道,衛道,K01,A03,03-72081959,0929731999,0991140686,0983437255,是,2025/8/14,
149050,谷志嘉,衛道,衛道,K01,I04,03-67711592,0902125356,0947469753,0915626452,是,2025/8/14,
874507,昌嘉,曉明,曉明,K01,F11,04-41492987,0926616036,0960139785,0908020971,是,2025/8/14,
417513,臧玲佳,曉明,曉明,K01,L02,04-92688120,0995674696,0923861326,0994719811,是,2025/8/14,
800669,常偉穎,明道,明道,K01,I11,04-73698972,0909597643,0920148344,0959195578,是,2025/8/14,
507538,甘文,明道,明道,K01,B01,07-15563242,0946878829,0916680744,0981352874,是,2025/8/14,
867117,符佩哲,中興,文華,K01,L06,07-05156373,0982982683,0981192411,0951450265,是,2025/8/14,
264624,岑佩,,二中,K01,G06,06-52369911,0994005646,0918526507,0947128506,是,2025/8/20,
803820,顧哲,居仁,二中,K01,L05,04-52922702,0922632290,0985712187,0911658741,是,2025/8/14,
606844,吉淑,豐東,惠文,K01,D03,06-78098011,0955266714,,0980704703,是,2025/9/15,
748585,白雯娟,北新,西苑,K01,G01,04-51281775,0937983177,0903066025,0931302834,是,2025/8/14,
845922,蘇春倫,,,K01,J03,,0923880042,0946027045,0934363797,是,2025/8/17,
179226,蓬嘉志,,明德,K01,F05,,0959026574,0963239826,0936762845,是,2025/9/30,
